Gene_combination	cell_line	condition	Class_label_sum	Correlation_dep	Class_label_dep	Label_Agreement	Correlation_corr	Class_label_corr	Class_label_exp
SLC39A14_SLC39A8	A375	2CP	GI	0.0647773931097491	no GI	Disagree	-0.0854906102014195	no GI	no GI
SLC39A14_SLC39A8	A375	2CP	GI	0.0647773931097491	no GI	Disagree	-0.0854906102014195	no GI	no GI
SLC39A1_SLC39A3	A375	2CP	no GI	-0.0427950256281115	no GI	Agree	-0.1693067876124525	no GI	no GI
SLC39A1_SLC39A3	A375	2CP	no GI	-0.0427950256281115	no GI	Agree	-0.1693067876124525	no GI	no GI
SLC41A1_SLC41A2	A375	2CP	no GI	0.0887471496097959	no GI	Agree	0.2136929828751122	no GI	no GI
SLC41A1_SLC41A2	A375	2CP	no GI	0.0887471496097959	no GI	Agree	0.2136929828751122	no GI	no GI
SLC41A1_SLC41A3	A375	2CP	no GI	0.0202436436402912	no GI	Agree	0.2011968673545036	no GI	no GI
SLC41A1_SLC41A3	A375	2CP	no GI	0.0202436436402912	no GI	Agree	0.2011968673545036	no GI	no GI
SLC41A2_SLC41A3	A375	2CP	no GI	-0.0247378598457592	no GI	Agree	0.0459504391591864	no GI	no GI
SLC41A2_SLC41A3	A375	2CP	no GI	-0.0247378598457592	no GI	Agree	0.0459504391591864	no GI	no GI
SLC43A1_SLC43A2	A375	2CP	no GI	-0.022351525273312	no GI	Agree	0.08694398138089	no GI	no GI
SLC43A1_SLC43A2	A375	2CP	no GI	-0.022351525273312	no GI	Agree	0.08694398138089	no GI	no GI
SLC4A2_SLC4A7	A375	2CP	no GI	-0.1477252762649718	no GI	Agree	0.137261824352249	no GI	no GI
SLC4A2_SLC4A7	A375	2CP	no GI	-0.1477252762649718	no GI	Agree	0.137261824352249	no GI	no GI
SLC6A6_SLC6A8	A375	2CP	no GI	0.0923649142934019	no GI	Agree	0.0823511648536006	no GI	no GI
SLC6A6_SLC6A8	A375	2CP	no GI	0.0923649142934019	no GI	Agree	0.0823511648536006	no GI	no GI
SLC6A6_SLC6A9	A375	2CP	no GI	-0.0474526365390536	no GI	Agree	-0.0870459616057457	no GI	no GI
SLC6A6_SLC6A9	A375	2CP	no GI	-0.0474526365390536	no GI	Agree	-0.0870459616057457	no GI	no GI
SLC6A8_SLC6A9	A375	2CP	no GI	-0.0114125419930151	no GI	Agree	0.0482642197079769	no GI	no GI
SLC6A8_SLC6A9	A375	2CP	no GI	-0.0114125419930151	no GI	Agree	0.0482642197079769	no GI	no GI
SLC7A11_SLC7A5	A375	2CP	no GI	0.1521457821596477	no GI	Agree	0.3154113459327257	no GI	no GI
SLC7A11_SLC7A5	A375	2CP	no GI	0.1521457821596477	no GI	Agree	0.3154113459327257	no GI	no GI
SLC7A11_SLC7A6	A375	2CP	no GI	0.0613134937434463	no GI	Agree	0.0653555532983478	no GI	no GI
SLC7A11_SLC7A6	A375	2CP	no GI	0.0613134937434463	no GI	Agree	0.0653555532983478	no GI	no GI
SLC7A5_SLC7A6	A375	2CP	no GI	0.1181182872958004	no GI	Agree	0.1591637900299008	no GI	no GI
SLC7A5_SLC7A6	A375	2CP	no GI	0.1181182872958004	no GI	Agree	0.1591637900299008	no GI	no GI
SLC9A3R1_SLC9A3R2	A375	2CP	no GI	0.0730280948273112	no GI	Agree	0.1082871273868354	no GI	no GI
SLC9A3R1_SLC9A3R2	A375	2CP	no GI	0.0730280948273112	no GI	Agree	0.1082871273868354	no GI	no GI
