Unnamed: 0	cell_line	condition	Gene_combination	combinatorial_avg_lfc	single_gene1_avg_lfc	single_gene2_avg_lfc	expression_gene1_batch_correct	expression_gene2_batch_correct	Class_label_sum	dep_Correlation	Euclidean_distance_dep	Gene1_dep_score	Gene2_dap_score	expre_Correlation	Euclidean_distance_expresstion	Gene1_expression	Gene2_expression	Euclidean_distance_dm	Gene1_damage_mutation	Gene2_damage_mutation
5981	Meljuso	2CP sel	MTMR10_MTMR12	0.6549922910235715	0.3927882467164763	-0.559321065568442	3.3080763221	3.4276477707	no GI	0.025756414398063702	0.008890034269150388	0.1101326018138516	0.1012425675447012	0.2474602945276804	0.11957144858026858	3.3080763220836165	3.427647770663885	0.0	0.0	0.0
5982	Meljuso	2CP sel	MTMR1_MTMR2	0.1182252996118293	-0.4420412772125444	-0.7449083739500666	3.3638611528	4.5696655577	GI	0.006928774128499744	0.10216527643929921	0.0990695869272342	0.2012348633665334	0.21629435388362206	1.2058044048867762	3.363861152841168	4.569665557727944	0.0	0.0	0.0
5983	Meljuso	2CP sel	MTMR3_MTMR4	-0.3802909871498072	-0.0722534428643271	-0.7558505947732579	2.7714286725	4.3750389857	no GI	0.08597928034736443	0.21087141222209976	-0.046641593048645	-0.2575130052707448	0.3901582095584817	1.6036103131455262	2.77142867254996	4.375038985695486	0.0	0.0	0.0
5984	Meljuso	2CP sel	MTMR6_MTMR9	-1.0864407698332117	-1.1288746647734782	-0.4983946047156291	3.7741828148	1.2983649249	no GI	0.4361602090615967	0.0541148368732359	0.0852315802956936	0.0311167434224577	0.4977671346696236	2.4758178899201932	3.774182814818152	1.298364924897959	0.0	0.0	0.0
5985	Meljuso	2CP sel	MTRF1_MTRF1L	-0.2858821883158917	-0.3973776632991805	-0.2475499762781607	3.0350527831	4.1730425762	no GI	0.056472954729474216	0.4368590733773528	-0.3308476889260233	-0.7677067623033761	0.20233212955714122	1.1379897931614638	3.035052783079548	4.173042576241012	0.0	0.0	0.0
5986	Meljuso	2CP sel	MTRR_POR	-1.133016296834649	-0.5133196036213865	-0.5859701678761431	5.1225005103	5.2646764535	no GI	-0.04339046073341632	0.357879194819548	-0.1602408235526416	0.1976383712669064	0.019744365046053775	0.14217594324616378	5.122500510295206	5.2646764535413695	0.0	0.0	0.0
5987	Meljuso	2CP sel	MTSS1_MTSS2	-0.5069966940904116	-0.7810564637365287	-0.3104131061631894	0.6993742201	3.4612841914	no GI	0.10872519015251564	0.0391297781842168	-0.0106937338384745	0.0284360443457423	0.11285678216431433	2.761909971313086	0.6993742201182651	3.4612841914313512	0.0	0.0	0.0
5988	Meljuso	2CP sel	MTX1_MTX3	-0.3062271446622946	-0.43444423347726	-0.701221179425797	6.1984364564	3.8530492719	no GI	-0.10877231137491514	0.3389246793023129	-0.3869324333707524	-0.0480077540684395	0.2190280381149765	2.345387184446686	6.198436456369592	3.853049271922906			
5989	Meljuso	2CP sel	MXD1_MXD3	0.2288338406061629	0.3335987224759387	-0.1652578431432949	1.1561875148	4.8394359676	no GI	-0.008314669025787404	0.15406023519254708	0.2750784631043704	0.1210182279118233	-0.15998260609480205	3.683248452728711	1.1561875148293557	4.8394359675580665	0.0	0.0	0.0
5990	Meljuso	2CP sel	MXD1_MXD4	0.8100303424999589	0.3335987224759387	0.0279581311842398	1.1561875148	3.3406460853	no GI	0.04641634933225858	0.3082319793229279	0.2750784631043704	-0.0331535162185575	0.05171453640048272	2.1844585704503974	1.1561875148293557	3.340646085279753	0.0	0.0	0.0
5991	Meljuso	2CP sel	MXD1_MXI1	-0.4199236394370866	0.3335987224759387	0.4089683620696229	1.1561875148	6.1634535679	no GI	0.05187912693400035	0.22267650823731489	0.2750784631043704	0.0524019548670555	0.09225929413948804	5.007266053114401	1.1561875148293557	6.1634535679437565	0.0	0.0	0.0
5992	Meljuso	2CP sel	MXD3_MXD4	0.1930061820895161	-0.1652578431432949	0.0279581311842398	4.8394359676	3.3406460853	no GI	0.12262036690031741	0.15417174413038082	0.1210182279118233	-0.0331535162185575	0.29281201278353636	1.4987898822783134	4.8394359675580665	3.340646085279753	0.0	0.0	0.0
5993	Meljuso	2CP sel	MXD3_MXI1	-0.0527835209981175	-0.1652578431432949	0.4089683620696229	4.8394359676	6.1634535679	no GI	0.06562549248983081	0.0686162730447678	0.1210182279118233	0.0524019548670555	0.010646256213412753	1.32401760038569	4.8394359675580665	6.1634535679437565	0.0	0.0	0.0
5994	Meljuso	2CP sel	MXD4_MXI1	0.0826342375600677	0.0279581311842398	0.4089683620696229	3.3406460853	6.1634535679	no GI	0.05185622259078636	0.085555471085613	-0.0331535162185575	0.0524019548670555	0.1926820867119402	2.8228074826640035	3.340646085279753	6.1634535679437565	0.0	0.0	0.0
5995	Meljuso	2CP sel	MYBL1_MYBL2	-0.555812751057051	3.8969368035999	-0.9995218617031107	4.0428370694	6.4991103704	GI	-0.08957972955647862	0.2314660408521079	0.1425938073487642	-0.0888722335033437	0.06943789916461783	2.4562733009594533	4.042837069444252	6.499110370403705	0.0	0.0	0.0
5996	Meljuso	2CP sel	MYB_MYBL1	3.454768087846594	-0.485842087480385	3.8969368035999	0.634306073	4.0428370694	no GI	-0.017962134469576757	0.28337436006936556	-0.1407805527206014	0.1425938073487642	-0.2987770443341794	3.4085309964635035	0.6343060729807481	4.042837069444252	0.0	0.0	0.0
5997	Meljuso	2CP sel	MYB_MYBL2	-0.3438307725311778	-0.485842087480385	-0.9995218617031107	0.634306073	6.4991103704	GI	0.2039020115547823	0.05190831921725769	-0.1407805527206014	-0.0888722335033437	0.34351281941846773	5.864804297422957	0.6343060729807481	6.499110370403705	0.0	0.0	0.0
5998	Meljuso	2CP sel	MYH10_MYH14	-0.7034682013147331	-0.5031915608266024	-0.7463556404516647	5.1363505301	4.087155248	no GI	-0.05160743412184134	0.31336286381401257	0.057497756221949	-0.2558651075920636	-0.09734208006188008	1.0491952820622537	5.136350530088845	4.087155248026591	0.0	0.0	0.0
5999	Meljuso	2CP sel	MYH10_MYH9	-2.212384641970917	-0.5031915608266024	-2.7813829333228037	5.1363505301	7.5446592123	no GI	0.06835478445795737	0.337036711119893	0.057497756221949	-0.279538954897944	0.11798019984381765	2.408308682259878	5.136350530088845	7.544659212348723	0.0	0.0	0.0
6000	Meljuso	2CP sel	MYH14_MYH9	-1.0788037113032012	-0.7463556404516647	-2.7813829333228037	4.087155248	7.5446592123	GI	0.031548122948027016	0.023673847305880402	-0.2558651075920636	-0.279538954897944	-0.15195251247488512	3.4575039643221315	4.087155248026591	7.544659212348723	0.0	0.0	0.0
6001	Meljuso	2CP sel	MYL12A_MYL12B	-1.9009604796190096	-0.0026152753669697	0.66594322548857	8.7438035366	8.5829398759	GI	0.2254842739727497	0.13377575488769008	-0.0808143803035967	0.0529613745840934	0.7774970885045542	0.1608636606374283	8.743803536571097	8.582939875933668			
6002	Meljuso	2CP sel	MYL12A_MYL9	0.7461447526428784	-0.0026152753669697	0.8474887861840934	8.7438035366	0.1022391604	no GI	0.07400442292482061	0.08152997538794401	-0.0808143803035967	-0.1623443556915407	0.456201191148183	8.641564376205881	8.743803536571097	0.1022391603652148			
6003	Meljuso	2CP sel	MYL12B_MYL9	0.1780310614999611	0.66594322548857	0.8474887861840934	8.5829398759	0.1022391604	GI	-0.006475054681204968	0.2153057302756341	0.0529613745840934	-0.1623443556915407	0.4529700334743757	8.480700715568453	8.582939875933668	0.1022391603652148			
6004	Meljuso	2CP sel	MYL6_MYL6B	0.679276522611594	0.5125410590079353	0.2773598510785506	9.5930180356	5.9869158691	no GI	0.2243571136111747	0.1064044892044518	-0.0666591350004578	0.039745354203994	0.29815858043824245	3.606102166540939	9.593018035632284	5.986915869091344			
6005	Meljuso	2CP sel	MYO1B_MYO1C	-0.9361563254979492	-1.7744377983142214	-1.109808358505305	4.8078182544	6.0712618233	GI	0.07706996005420491	0.0861068056339475	0.0666096450845765	0.152716450718524	0.45433264959065023	1.263443568878257	4.807818254444332	6.0712618233225895	0.0	0.0	0.0
6006	Meljuso	2CP sel	MYO1B_MYO1D	-0.8963853464022251	-1.7744377983142214	-1.7869971102403903	4.8078182544	2.2055779624	GI	0.03732487007163158	0.2937645793828742	0.0666096450845765	-0.2271549342982977	0.2995847694936862	2.6022402919952246	4.807818254444332	2.205577962449108	0.0	0.0	0.0
6007	Meljuso	2CP sel	MYO1B_MYO1E	-0.6558232678339646	-1.7744377983142214	-0.6339452548526914	4.8078182544	5.6711953031	GI	-0.045632130373017124	0.18935949043892247	0.0666096450845765	0.255969135523499	0.4677502634998501	0.8633770486222145	4.807818254444332	5.671195303066547	0.0	0.0	0.0
6008	Meljuso	2CP sel	MYO1C_MYO1D	-0.8920003853550575	-1.109808358505305	-1.7869971102403903	6.0712618233	2.2055779624	GI	-0.05151471206040262	0.3798713850168217	0.152716450718524	-0.2271549342982977	0.16422435691828333	3.8656838608734816	6.0712618233225895	2.205577962449108	0.0	0.0	0.0
6009	Meljuso	2CP sel	MYO1C_MYO1E	-0.4147773698348016	-1.109808358505305	-0.6339452548526914	6.0712618233	5.6711953031	GI	0.029672850496913573	0.10325268480497499	0.152716450718524	0.255969135523499	0.5455286952904598	0.4000665202560425	6.0712618233225895	5.671195303066547	0.0	0.0	0.0
6010	Meljuso	2CP sel	MYO1D_MYO1E	-0.7013973117349388	-1.7869971102403903	-0.6339452548526914	2.2055779624	5.6711953031	GI	-0.11320119631628872	0.4831240698217967	-0.2271549342982977	0.255969135523499	0.22357234044328328	3.465617340617439	2.205577962449108	5.671195303066547	0.0	0.0	0.0
6011	Meljuso	2CP sel	MYO5A_MYO5B	-0.2814430810172599	-0.7063321116494781	-0.916077221080098	5.227419811	0.3765852712	GI	-0.002708041173822907	0.0632370253043644	0.0700984816722542	0.0068614563678898	-0.256667508907262	4.850834539802946	5.227419811047633	0.3765852712446862	0.0	0.0	0.0
6012	Meljuso	2CP sel	MYO9A_MYO9B	-1.4451152220776342	-1.1337420179236233	0.0416845762356021	2.6065155919	5.242453668	no GI	0.14985235404963498	0.022234636263242596	-0.1738778340635058	-0.1961124703267484	0.31113553272727734	2.635938076070879	2.6065155919045653	5.242453667975444	0.0	0.0	0.0
6013	Meljuso	2CP sel	MZF1_ZNF436	0.0557449674756456	0.0284104454051616	0.1099707947614734	2.6255521827	1.7211367381	no GI	0.023169685677620823	0.0608929146714849	-0.077503367435372	-0.0166104527638871	0.1492423250387217	0.9044154446268076	2.625552182698326	1.7211367380715186	0.0	0.0	0.0
6014	Meljuso	2CP sel	MZF1_ZNF623	0.7553859090389914	0.0284104454051616	-0.9992339851209384	2.6255521827	3.1963318061	GI	0.08135074470962589	0.1022666771682741	-0.077503367435372	0.0247633097329021	0.297332057651301	0.5707796234261919	2.625552182698326	3.196331806124518	0.0	0.0	0.0
6015	Meljuso	2CP sel	MZT2A_MZT2B	0.7698151316646971	0.2589273088025572	0.0571920836779382	6.2402485936	7.5287907776	no GI	0.13427311554857363	0.33500439477943844	-0.5521444495367919	-0.2171400547573534	0.7900961626805	1.288542184009306	6.240248593606231	7.528790777615537			
6016	Meljuso	2CP sel	NAA15_NAA16	-3.4665123899098127	-4.764594010562268	-0.9513402289999668	4.1093121437	2.1421971982	GI	0.008661405872200994	1.1251638780986795	-1.2325354039283942	-0.1073715258297148	0.43144396554826037	1.9671149455544987	4.109312143707017	2.1421971981525183	0.0	0.0	0.0
6017	Meljuso	2CP sel	NAB1_NAB2	0.1696866685742764	0.3469012577110482	0.2705977489126709	5.2111682223	2.962706265	no GI	0.033183483236932695	0.07514240150683649	0.1816858635403777	0.1065434620335412	0.09975139533109138	2.2484619573540456	2.9627062649517084	5.211168222305754			
6018	Meljuso	2CP sel	NABP1_NABP2	-1.7634025273242862	-0.0739718813387697	-0.2028948197103905	2.3545589308	6.2911159702	GI	-0.1300446788438463	0.3882155560330601	0.1144560802969618	-0.2737594757360983	-0.2318151432855435	3.936557039408516	2.3545589308096693	6.291115970218185			
6019	Meljuso	2CP sel	NACC1_NACC2	-0.3060063450778716	0.1442532493195061	0.138726729222665	5.2122302685	3.6817454972	no GI	0.176248339243942	0.23333846412932271	-0.2806397807013755	-0.0473013165720528	0.326135890715206	1.530484771294251	5.212230268506897	3.6817454972126455	0.0	0.0	0.0
6020	Meljuso	2CP sel	NAP1L1_NAP1L4	-1.5595335650542714	-0.2842230673923027	0.0915441312553166	8.4266769988	6.449175506	GI	0.11334742796141226	0.0638835992447994	0.0272543850664885	-0.0366292141783109	0.2704016841639108	1.9775014928530075	8.426676998834914	6.4491755059819065	0.0	0.0	0.0
6021	Meljuso	2CP sel	NAPA_NAPB	-0.187218113862577	-1.5021928948872765	0.3856014655295403	6.7747785003	2.1940563278	no GI	0.11112475085559373	1.4463006250305774	-1.2175128732852631	0.2287877517453143	0.21006321604155107	4.580722172477293	6.774778500268422	2.1940563277911296	0.0	0.0	0.0
6022	Meljuso	2CP sel	NAV1_NAV2	-0.5347857384990276	-0.5664140147240126	0.3489337912908465	4.3285358367	4.7342947411	no GI	0.01976677858668642	0.10746368941488121	-0.1563943944414656	-0.0489307050265844	0.4549348752071607	0.40575890436174866	4.328535836723388	4.734294741085137	0.0	0.0	0.0
