	cell_line	condition	Gene_combination	combinatorial_avg_lfc	single_gene1_avg_lfc	single_gene2_avg_lfc	expression_gene1_batch_correct	expression_gene2_batch_correct	Class_label
6481	Meljuso	2CP sel	RANBP10_RANBP9	-2.8878581957005993	0.03933243232785255	-0.18734476341716633	3.1403840127	4.392215736	GI
6482	Meljuso	2CP sel	RAP1A_RAP1B	-1.4764669808116555	0.0015884420615632777	-0.34959314997307356	4.9792455181	6.4770601636	GI
6483	Meljuso	2CP sel	RAP1GAP_RAP1GAP2	-0.13025557889888328	0.08131091745472663	-0.3966525318727976	0.5648073278	0.0617852385	no GI
6484	Meljuso	2CP sel	RAP2A_RAP2B	0.21906962442057765	1.2528265457970444	0.3073180835746978	3.6180774427	2.8792723579	GI
6485	Meljuso	2CP sel	RAP2A_RAP2C	-0.2572092167768978	-0.40366211678711905	1.2528265457970444	3.425527363	3.6180774427	GI
6486	Meljuso	2CP sel	RAP2B_RAP2C	-0.4952787199456654	0.3073180835746978	-0.40366211678711905	2.8792723579	3.425527363	no GI
6487	Meljuso	2CP sel	RAPGEF2_RAPGEF6	-2.444398845329144	0.11225145886102239	-1.7204212387780613	2.9280957276	3.0724323586	no GI
6488	Meljuso	2CP sel	RARA_RARG	-0.11515434156571214	0.15464393661637388	-0.5047516071718845	3.8768705849	4.0867506667	no GI
6489	Meljuso	2CP sel	RASA2_RASA3	0.6828023331659352	-0.18494838402191593	-0.05836045096166398	2.1949539793	4.4722990099	no GI
6490	Meljuso	2CP sel	RASAL2_SYNGAP1	-0.4230386040943386	-0.0949517520267329	-0.04772856932016922	3.005693784	1.6997591246	no GI
6491	Meljuso	2CP sel	RASSF1_RASSF3	0.24527483275111717	0.371019103458335	0.6616208553461633	4.6725261423	4.5444585632	no GI
6492	Meljuso	2CP sel	RASSF7_RASSF8	0.26670572852671515	0.13652782599112334	-0.26373255453480104	3.2136460174	4.7952084618	no GI
6493	Meljuso	2CP sel	RAVER1_RAVER2	-0.27079794016478265	-0.7283923742289815	-0.5700855190215148	4.3383481743	2.6066718824	GI
6494	Meljuso	2CP sel	RBAK_ZNF12	0.3403254995391518	-0.7713165195591365	-0.03474641774936904	4.2675611651	2.4002218789	no GI
6495	Meljuso	2CP sel	RBBP4_RBBP7	-2.8939307311608786	-2.6948079347362084	-1.4653016305600277	6.3736077671	7.2573830368	no GI
6496	Meljuso	2CP sel	RBL1_RBL2	-2.132497181494272	-0.977182086096942	-0.8704193928149162	3.5496450769	3.4393365314	no GI
6497	Meljuso	2CP sel	RBM10_RBM5	-0.45108189746410354	-1.472855698081465	1.5951183363104142	4.9489978049	5.9443633564	no GI
6498	Meljuso	2CP sel	RBM23_RBM39	-3.9197210021873343	-1.129571702231137	-5.630708768550878	5.5528258702	7.1433521838	lol
6499	Meljuso	2CP sel	RBM26_RBM27	-3.3946720458912933	-0.09618227615809816	-2.26657520878222	3.6701592111	3.2632460926	no GI
6500	Meljuso	2CP sel	RBM4_RBM4B	-1.3134969096567186	-0.48120215818042045	-0.2665753897095551	6.6873532051	3.852359771	no GI
6501	Meljuso	2CP sel	RBMS1_RBMS2	-0.14434134785953945	-0.6700982037477168	0.6878419494587407	4.5894853391	3.2389828304	no GI
6502	Meljuso	2CP sel	RBMX_RBMXL1	-2.0480933153024865	0.5471028560819424	-3.966272881224529	3.1936903302	7.5194442123	no GI
6503	Meljuso	2CP sel	RBX1_RNF7	-1.5835911354352514	-3.3058516699354747	1.632998918223769	6.4843830271	6.8689792754	no GI
6504	Meljuso	2CP sel	RC3H1_RC3H2	-0.8653981886636197	0.046152358143630945	0.6863227336284459	1.5622712678	3.5954226649	no GI
6505	Meljuso	2CP sel	RCBTB1_RCBTB2	-0.7965307667928454	-0.055043135794730524	-0.6198398600694852	3.0232296012	1.2726181303	no GI
6506	Meljuso	2CP sel	RCN1_RCN3	-0.8059467831961789	-0.9150658141656167	-0.40316894726894703	7.7562886343	3.4482509812	no GI
6507	Meljuso	2CP sel	RCOR1_RCOR3	-0.6567455974225833	-0.4790902354341027	-0.49490470448734847	2.1766174679	3.8667130067	no GI
6508	Meljuso	2CP sel	RDH11_WWOX	-0.18827469369877026	-0.32067766348527793	0.27761790757240146	5.80785542	3.5168827781	no GI
6509	Meljuso	2CP sel	RDH13_RDH14	0.3398297639737504	-0.27807363364175597	-0.34886349747080114	4.1779240765	4.2388421289	no GI
6510	Meljuso	2CP sel	REEP2_REEP3	0.14131086155130324	-0.6125155948651073	-0.2124631244717623	2.7175123129	4.0170457068	no GI
6511	Meljuso	2CP sel	REEP2_REEP4	-0.2722060579948218	-0.6125155948651073	0.2955686366026544	2.7175123129	4.4262223459	no GI
6512	Meljuso	2CP sel	REEP3_REEP4	-0.02063958598474014	-0.2124631244717623	0.2955686366026544	4.0170457068	4.4262223459	no GI
6513	Meljuso	2CP sel	REEP5_REEP6	-0.009601813898162836	-0.47107386193128575	0.22388829753013928	6.7214524016	2.8814136323	no GI
6514	Meljuso	2CP sel	RELA_RELB	0.10292047731490772	-0.645081583238122	-1.4585890323873656	5.2372296559	1.9347624288	GI
6515	Meljuso	2CP sel	RFC2_RFC4	-2.4105907535572415	-0.7314476451575094	-6.184918158339141	6.4110697609	6.5378747844	GI
6516	Meljuso	2CP sel	RFC2_RFC5	-1.8703406146392862	-0.7314476451575094	-3.2745354929914043	6.4110697609	5.1905381756	GI
6517	Meljuso	2CP sel	RFC4_RFC5	-4.034273606180737	-6.184918158339141	-3.2745354929914043	6.5378747844	5.1905381756	lol
6518	Meljuso	2CP sel	RFFL_RNF34	0.8389696474894464	-0.2966758661696933	0.18879995614367617	2.8125437322	4.9755169738	no GI
6519	Meljuso	2CP sel	RFX1_RFX2	-0.12559793298932886	0.7004746638139372	-0.6003381812101014	1.9628884431	1.9409886901	no GI
6520	Meljuso	2CP sel	RGL2_RGL3	0.00672268357896777	-0.716287991068635	0.0052571995800017035	3.8275864049	1.6924722817	no GI
6521	Meljuso	2CP sel	RGS12_RGS14	-0.2389127517326486	0.17149241625441403	-0.13225597254387145	5.0321839055	3.1007453007	no GI
6522	Meljuso	2CP sel	RGS19_RGS20	0.16964643898282805	-0.9314722881665387	0.11063066114507802	4.0966287606	2.5587523805	no GI
6523	Meljuso	2CP sel	RGS19_RGS5	0.45873458705603243	-0.9314722881665387	0.3413635939726447	4.0966287606	1.2960855473	GI
6524	Meljuso	2CP sel	RGS2_RGS5	-0.030400608874655122	0.1749260868013709	0.3413635939726447	2.7922416754	1.2960855473	no GI
6525	Meljuso	2CP sel	RHBDF1_RHBDF2	-0.7771083637997505	-0.1114969502906411	-1.2619442830283563	4.9662174132	4.7354922353	no GI
6526	Meljuso	2CP sel	RHEB_RHEBL1	-1.9987278467024456	-2.3249321099140525	-0.801612904528398	7.3728094866	2.3792272037	GI
6527	Meljuso	2CP sel	RHOA_RHOB	-1.8690353168599363	0.013356881058423697	-0.7317287447742249	9.2368165487	5.6634609962	GI
6528	Meljuso	2CP sel	RHOA_RHOC	-0.5181186368032562	0.013356881058423697	0.33299140540618866	9.2368165487	8.9806443436	no GI
6529	Meljuso	2CP sel	RHOBTB1_RHOBTB2	0.29103708394041017	-0.023523567917394406	0.12054973586290618	2.0587088106	3.4854599017	no GI
6530	Meljuso	2CP sel	RHOB_RHOC	-0.1661673925610152	-0.7317287447742249	0.33299140540618866	5.6634609962	8.9806443436	no GI
6531	Meljuso	2CP sel	RHOD_RHOF	0.6981499993909313	0.4882935179876835	0.5999307931343492	-0.1130656051	1.4271434949	no GI
6532	Meljuso	2CP sel	RHOD_RHOU	0.43798877782935985	0.4882935179876835	0.3938639727758042	-0.1130656051	1.019289671	no GI
6533	Meljuso	2CP sel	RHOD_RND3	-0.5689898133693307	0.4882935179876835	0.19989364233197637	-0.1130656051	5.7985853124	no GI
6534	Meljuso	2CP sel	RHOF_RHOU	0.6071100863902548	0.5999307931343492	0.3938639727758042	1.4271434949	1.019289671	no GI
6535	Meljuso	2CP sel	RHOF_RND3	0.3953809550503309	0.5999307931343492	0.19989364233197637	1.4271434949	5.7985853124	no GI
6536	Meljuso	2CP sel	RHOG_RHOQ	-1.625483100889188	-0.7162464437498712	-0.6636363680920452	5.7107904192	4.8132170472	no GI
6537	Meljuso	2CP sel	RHOQ_RHOU	-0.9640493920493853	-0.6636363680920452	0.3938639727758042	4.8132170472	1.019289671	no GI
6538	Meljuso	2CP sel	RHOT1_RHOT2	-0.3222350560449698	-0.3664346904986273	-0.8972605114311827	3.5159441434	5.7856871268	no GI
6539	Meljuso	2CP sel	RHOU_RND3	0.2895490300971386	0.3938639727758042	0.19989364233197637	1.019289671	5.7985853124	no GI
6540	Meljuso	2CP sel	RHPN1_RHPN2	-0.6786705877728005	-0.17678173425727972	-0.36704370642340645	1.7889046052	3.6222091969	no GI
6541	Meljuso	2CP sel	RIC8A_RIC8B	-1.4800169428983825	-2.501665210656965	0.3240622892699869	6.2500070521	2.8019958202	no GI
6542	Meljuso	2CP sel	RIN2_RIN3	0.32446247283387075	-0.21642389835251552	1.4812092231577578	-0.0188193926	2.6133176245	no GI
6543	Meljuso	2CP sel	RING1_RNF2	0.7838481425266741	0.7113809997580358	0.8599768593895274	4.7616436779	3.3958199118	no GI
6544	Meljuso	2CP sel	RIT1_RRAS	0.653299159851249	-0.8186119401909933	0.6516946004320676	3.7026419862	4.4351394441	no GI
6545	Meljuso	2CP sel	RIT1_RRAS2	-0.2496006386110894	-0.8186119401909933	0.5350507421801574	3.7026419862	3.0584940101	no GI
6546	Meljuso	2CP sel	RLIM_RNF6	0.9640145226100607	0.871479956356271	0.21067527776677575	3.0417972092	4.9560470755	no GI
